ID	Description	GeneRatio	pvalue	p.adjust	geneID	method	gene.name	list.name	list.count
R-HSA-9793380	Formation of paraxial mesoderm	10/250	3.01386724381858e-06	0.000304926132952601	84441/4851/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	MAML2/NOTCH1/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	PL/Zhang	2
R-HSA-6794361	Neurexins and neuroligins	9/250	3.37035294834702e-06	0.000304926132952601	1740/9229/58512/22839/2911/9455/22871/57555/81858	Reactome	DLG2/DLGAP1/DLGAP3/DLGAP4/GRM1/HOMER2/NLGN1/NLGN2/SHARPIN	Zhang	1
R-HSA-9824272	Somitogenesis	9/250	3.37035294834702e-06	0.000304926132952601	4851/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	NOTCH1/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	11/250	3.81427607461299e-06	0.000304926132952601	9184/8556/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC14A/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-453276	Regulation of mitotic cell cycle	11/250	3.81427607461299e-06	0.000304926132952601	9184/8556/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC14A/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	10/250	4.47885574226178e-06	0.000304926132952601	9184/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	10/250	4.47885574226178e-06	0.000304926132952601	8697/990/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	CDC23/CDC6/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-4641258	Degradation of DVL	9/250	4.5848438541321e-06	0.000304926132952601	1856/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	DVL2/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-5687128	MAPK6/MAPK4 signaling	11/250	4.78011417408819e-06	0.000304926132952601	26523/8556/4343/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	AGO1/CDC14A/MOV10/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	10/250	5.08815625852452e-06	0.000304926132952601	9184/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
